Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,winner_num
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Dosedel S.,Ljubicic I.,63,77,-1,-1,-1.0,-1.0,6-4 6-2,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Clement A.,Enqvist T.,56,5,-1,-1,-1.0,-1.0,3-6 3-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Escude N.,Baccanello P.,40,655,-1,-1,-1.0,-1.0,6-7 7-5 6-3,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Knippschild J.,Federer R.,87,65,-1,-1,-1.0,-1.0,1-6 4-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Fromberg R.,Woodbridge T.,81,198,-1,-1,-1.0,-1.0,7-6 5-7 6-4,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Arthurs W.,Gambill J.M.,105,58,-1,-1,-1.0,-1.0,6-3 6-7 4-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Grosjean S.,Ilie A.,26,51,-1,-1,-1.0,-1.0,6-2 6-1,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Balcells J.,Henman T.,218,11,-1,-1,-1.0,-1.0,4-6 6-7,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Hewitt L.,Woodforde M.,24,129,-1,-1,-1.0,-1.0,6-3 2-6 6-1,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Tebbutt M.,Lisnard J.,351,134,-1,-1,-1.0,-1.0,6-7 7-6 4-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Martin A.,Spadea V.,55,21,-1,-1,-1.0,-1.0,6-2 6-2,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Draper S.,Norman M.,155,15,-1,-1,-1.0,-1.0,4-6 4-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Petrovic D.,Huet S.,208,122,-1,-1,-1.0,-1.0,3-6 6-3 6-3,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Pozzi G.,Sekulov J.,79,142,-1,-1,-1.0,-1.0,4-6 6-2 2-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Stoltenberg J.,Hrbaty D.,84,20,-1,-1,-1.0,-1.0,6-3 6-1,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,1st Round,3,Goldstein P.,Vinck C.,88,227,-1,-1,-1.0,-1.0,6-3 3-6 4-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Enqvist T.,Federer R.,5,65,-1,-1,-1.0,-1.0,7-6 6-4,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Dosedel S.,Escude N.,63,40,-1,-1,-1.0,-1.0,6-7 4-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Grosjean S.,Gambill J.M.,26,58,-1,-1,-1.0,-1.0,3-6 7-6 6-2,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Lisnard J.,Henman T.,134,11,-1,-1,-1.0,-1.0,6-3 4-6 2-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Petrovic D.,24,208,-1,-1,-1.0,-1.0,6-0 6-2,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Sekulov J.,Martin A.,142,55,-1,-1,-1.0,-1.0,6-7 6-7,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Norman M.,Fromberg R.,15,81,-1,-1,-1.0,-1.0,7-5 6-4,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,2nd Round,3,Vinck C.,Stoltenberg J.,227,84,-1,-1,-1.0,-1.0,6-3 4-6 4-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Enqvist T.,Grosjean S.,5,26,-1,-1,-1.0,-1.0,7-6 7-5,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Henman T.,Escude N.,11,40,-1,-1,-1.0,-1.0,3-6 1-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Hewitt L.,Stoltenberg J.,24,84,-1,-1,-1.0,-1.0,6-2 6-2,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Martin A.,Norman M.,55,15,-1,-1,-1.0,-1.0,4-6 3-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Semifinals,3,Enqvist T.,Norman M.,5,15,-1,-1,-1.0,-1.0,3-6 6-2 6-2,player 1
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,Semifinals,3,Escude N.,Hewitt L.,40,24,-1,-1,-1.0,-1.0,6-3 1-6 4-6,player 2
Australian Hardcourt Championships,2000-01-03,International,Outdoor,Hard,The Final,3,Hewitt L.,Enqvist T.,24,5,-1,-1,-1.0,-1.0,3-6 6-3 6-2,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kumar S.,Agenor R.,1198,94,-1,-1,-1.0,-1.0,4-6 4-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Behrend T.,Popp A.,116,124,-1,-1,-1.0,-1.0,6-4 4-6 6-1,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Rochus C.,Damm M.,120,104,-1,-1,-1.0,-1.0,3-6 0-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Delgado J.,Black B.,162,67,-1,-1,-1.0,-1.0,6-2 7-6,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Spottl M.,Golmard J.,200,38,-1,-1,-1.0,-1.0,3-6 4-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Hantschk M.,Tieleman L.,128,89,-1,-1,-1.0,-1.0,7-6 6-3,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kroslak J.,Jonsson F.,103,127,-1,-1,-1.0,-1.0,3-6 3-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ketola T.,Ogorodov O.,163,135,-1,-1,-1.0,-1.0,7-5 4-6 6-4,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Zib T.,Manta L.,115,117,-1,-1,-1.0,-1.0,5-7 2-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Paes L.,Boutter J.,145,137,-1,-1,-1.0,-1.0,6-4 7-6,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ram A.,Pioline C.,414,14,-1,-1,-1.0,-1.0,3-6 1-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Sanguinetti D.,Voinea A.,121,100,-1,-1,-1.0,-1.0,7-6 6-4,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kilderry P.,Stanoytchev O.,342,111,-1,-1,-1.0,-1.0,4-6 6-7,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Tabara M.,Kafelnikov Y.,125,2,-1,-1,-1.0,-1.0,6-4 6-2,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Ishii Y.,Vanek J.,238,160,-1,-1,-1.0,-1.0,3-6 4-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Vinciguerra A.,Lopez-Moron A.,99,113,-1,-1,-1.0,-1.0,6-4 6-2,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Agenor R.,Damm M.,94,104,-1,-1,-1.0,-1.0,6-4 2-6 1-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Delgado J.,Stanoytchev O.,162,111,-1,-1,-1.0,-1.0,4-6 6-2 6-3,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Jonsson F.,Golmard J.,127,38,-1,-1,-1.0,-1.0,2-6 3-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Hantschk M.,Behrend T.,128,116,-1,-1,-1.0,-1.0,6-3 4-6 6-3,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Vanek J.,Ketola T.,160,163,-1,-1,-1.0,-1.0,6-4 4-6 4-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Manta L.,Tabara M.,117,125,-1,-1,-1.0,-1.0,6-4 6-3,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Paes L.,Pioline C.,145,14,-1,-1,-1.0,-1.0,3-6 4-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Sanguinetti D.,Vinciguerra A.,121,99,-1,-1,-1.0,-1.0,2-6 7-5 6-3,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Manta L.,Damm M.,117,104,-1,-1,-1.0,-1.0,4-6 4-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Golmard J.,Delgado J.,38,162,-1,-1,-1.0,-1.0,6-3 6-4,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Ketola T.,Hantschk M.,163,128,-1,-1,-1.0,-1.0,7-5 5-7 2-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Pioline C.,Sanguinetti D.,14,121,-1,-1,-1.0,-1.0,3-6 6-4 7-6,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Damm M.,Golmard J.,104,38,-1,-1,-1.0,-1.0,6-3 3-6 3-6,player 2
Gold Flake Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Hantschk M.,Pioline C.,128,14,-1,-1,-1.0,-1.0,6-4 2-6 7-6,player 1
Gold Flake Open,2000-01-03,International,Outdoor,Hard,The Final,3,Hantschk M.,Golmard J.,128,38,-1,-1,-1.0,-1.0,3-6 7-6 3-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Bastl G.,Novak J.,85,36,-1,-1,-1.0,-1.0,6-4 7-5,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Al-Alawi S.K.,Berasategui A.,-1,60,-1,-1,-1.0,-1.0,3-6 4-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Caratti C.,Heuberger I.,211,219,-1,-1,-1.0,-1.0,7-6 4-6 6-4,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Arazi H.,Cherkasov A.,35,206,-1,-1,-1.0,-1.0,2-6 4-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,El Aynaoui Y.,Dupuis A.,33,78,-1,-1,-1.0,-1.0,4-6 6-3 6-2,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Luxa P.,Gaudio G.,174,73,-1,-1,-1.0,-1.0,6-4 0-6 2-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Kiefer N.,Tarango J.,6,59,-1,-1,-1.0,-1.0,7-6 7-6,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Puerta M.,Mirnyi M.,101,74,-1,-1,-1.0,-1.0,5-7 2-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Santoro F.,Burgsmuller L.,32,138,-1,-1,-1.0,-1.0,6-4 6-1,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Diaz J.,Schalken S.,86,44,-1,-1,-1.0,-1.0,5-7 4-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Schuettler R.,Sanchez J.,47,285,-1,-1,-1.0,-1.0,6-2 7-6,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Siemerink J.,Squillari F.,93,49,-1,-1,-1.0,-1.0,2-6 4-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Tillstrom M.,Ivanisevic G.,83,62,-1,-1,-1.0,-1.0,7-6 6-4,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,1st Round,3,Vicente F.,Vacek D.,50,39,-1,-1,-1.0,-1.0,6-0 3-6 4-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Bastl G.,Berasategui A.,85,60,-1,-1,-1.0,-1.0,6-3 6-1,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Gaudio G.,El Aynaoui Y.,73,33,-1,-1,-1.0,-1.0,4-6 4-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Kiefer N.,Caratti C.,6,211,-1,-1,-1.0,-1.0,6-1 6-1,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Marin J.A.,Mirnyi M.,71,74,-1,-1,-1.0,-1.0,0-6 1-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Santoro F.,van Lottum J.,32,69,-1,-1,-1.0,-1.0,7-6 6-1,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Squillari F.,Schalken S.,49,44,-1,-1,-1.0,-1.0,6-4 1-6 1-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Schuettler R.,Vacek D.,47,39,-1,-1,-1.0,-1.0,6-3 6-2,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,2nd Round,3,Cherkasov A.,Tillstrom M.,206,83,-1,-1,-1.0,-1.0,6-7 4-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,El Aynaoui Y.,Tillstrom M.,33,83,-1,-1,-1.0,-1.0,7-5 6-3,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Schalken S.,Kiefer N.,44,6,-1,-1,-1.0,-1.0,1-6 0-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Santoro F.,Bastl G.,32,85,-1,-1,-1.0,-1.0,6-2 6-4,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,Quarterfinals,3,Mirnyi M.,Schuettler R.,74,47,-1,-1,-1.0,-1.0,3-6 2-6,player 2
Qatar Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,Santoro F.,Kiefer N.,32,6,-1,-1,-1.0,-1.0,7-5 6-4,player 1
Qatar Open,2000-01-03,International,Outdoor,Hard,Semifinals,3,El Aynaoui Y.,Schuettler R.,33,47,-1,-1,-1.0,-1.0,7-6 4-6 4-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Balcells J.,Squillari F.,211,49,-1,-1,-1.0,-1.0,7-5 7-5,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Hantschk M.,Behrend T.,95,115,-1,-1,-1.0,-1.0,2-6 2-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Chang M.,Black B.,50,70,-1,-1,-1.0,-1.0,7-5 4-6 7-6,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Federer R.,Ferrero J.C.,61,45,-1,-1,-1.0,-1.0,4-6 4-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Gambill J.M.,Fromberg R.,57,80,-1,-1,-1.0,-1.0,4-6 6-3 6-4,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Sargsian S.,Gaudio G.,52,72,-1,-1,-1.0,-1.0,5-7 6-4 5-7,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Gustafsson M.,Nielsen M.,60,246,-1,-1,-1.0,-1.0,6-4 6-4,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Tarango J.,Haas T.,63,11,-1,-1,-1.0,-1.0,5-7 6-4 5-7,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Johansson T.,Weiner G.,43,334,-1,-1,-1.0,-1.0,7-6 6-1,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Berasategui A.,Martin A.,59,48,-1,-1,-1.0,-1.0,3-6 1-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Norman M.,Costa F.,14,149,-1,-1,-1.0,-1.0,7-5 6-4,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Bjorkman J.,Novak J.,76,38,-1,-1,-1.0,-1.0,5-7 4-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Rosset M.,Vicente F.,46,53,-1,-1,-1.0,-1.0,6-4 6-3,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Ivanisevic G.,Schalken S.,68,37,-1,-1,-1.0,-1.0,1-6 6-4 4-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Sell M.,Escude N.,167,34,-1,-1,-1.0,-1.0,0-6 7-6 6-1,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,1st Round,3,Woodruff C.,van Lottum J.,56,66,-1,-1,-1.0,-1.0,1-6 3-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Balcells J.,Haas T.,211,11,-1,-1,-1.0,-1.0,6-4 7-5,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Sell M.,Chang M.,167,50,-1,-1,-1.0,-1.0,6-4 4-6 6-7,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Ferrero J.C.,Martin A.,45,48,-1,-1,-1.0,-1.0,6-7 6-2 6-4,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Novak J.,Gaudio G.,38,72,-1,-1,-1.0,-1.0,4-6 7-6 6-7,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Gustafsson M.,Johansson T.,60,43,-1,-1,-1.0,-1.0,6-2 6-3,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Gambill J.M.,Norman M.,57,14,-1,-1,-1.0,-1.0,3-6 3-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Rosset M.,van Lottum J.,46,66,-1,-1,-1.0,-1.0,6-3 6-2,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,2nd Round,3,Behrend T.,Schalken S.,115,37,-1,-1,-1.0,-1.0,4-6 1-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Balcells J.,Ferrero J.C.,211,45,-1,-1,-1.0,-1.0,4-6 6-3 6-1,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Schalken S.,Gaudio G.,37,72,-1,-1,-1.0,-1.0,1-6 2-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Norman M.,Rosset M.,14,46,-1,-1,-1.0,-1.0,6-2 6-2,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,Semifinals,3,Balcells J.,Chang M.,211,50,-1,-1,-1.0,-1.0,3-6 6-3 2-6,player 2
Heineken Open,2000-01-10,International,Outdoor,Hard,Semifinals,3,Norman M.,Gaudio G.,14,72,-1,-1,-1.0,-1.0,6-4 7-5,player 1
Heineken Open,2000-01-10,International,Outdoor,Hard,The Final,3,Chang M.,Norman M.,50,14,-1,-1,-1.0,-1.0,6-3 3-6 5-7,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Arazi H.,Mantilla F.,42,25,-1,-1,-1.0,-1.0,6-3 6-4,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Kuerten G.,Clavet F.,5,39,-1,-1,-1.0,-1.0,4-6 6-3 4-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Clement A.,Zabaleta M.,55,32,-1,-1,-1.0,-1.0,4-6 6-3 6-4,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Pioline C.,Corretja A.,15,28,-1,-1,-1.0,-1.0,4-6 4-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Dosedel S.,Woodforde M.,69,128,-1,-1,-1.0,-1.0,6-3 6-3,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Grosjean S.,Hewitt L.,27,21,-1,-1,-1.0,-1.0,4-6 4-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Hrbaty D.,Ullyett K.,23,193,-1,-1,-1.0,-1.0,6-1 7-5,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Costa A.,Ilie A.,18,47,-1,-1,-1.0,-1.0,6-3 6-7 4-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Koubek S.,Meligeni F.,40,29,-1,-1,-1.0,-1.0,7-6 6-1,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Damm M.,Kucera K.,88,17,-1,-1,-1.0,-1.0,6-7 1-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Lapentti N.,El Aynaoui Y.,7,31,-1,-1,-1.0,-1.0,3-6 6-3 6-3,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Safin M.,Ljubicic I.,24,79,-1,-1,-1.0,-1.0,7-6 3-6 3-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Martin T.,Medvedev A.,8,33,-1,-1,-1.0,-1.0,6-1 6-7 6-3,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Diaz J.,Stoltenberg J.,84,94,-1,-1,-1.0,-1.0,1-6 7-6 4-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Vacek D.,Lisnard J.,41,127,-1,-1,-1.0,-1.0,6-4 7-6,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,1st Round,3,Spadea V.,Voinea A.,20,102,-1,-1,-1.0,-1.0,6-3 6-7 4-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Corretja A.,Arazi H.,28,42,-1,-1,-1.0,-1.0,3-6 6-3 7-6,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Ilie A.,Dosedel S.,47,69,-1,-1,-1.0,-1.0,3-6 5-7,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Clavet F.,21,39,-1,-1,-1.0,-1.0,6-3 6-2,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Clement A.,Kucera K.,55,17,-1,-1,-1.0,-1.0,2-6 4-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Lapentti N.,Koubek S.,7,40,-1,-1,-1.0,-1.0,4-6 6-0 6-4,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Martin T.,Ljubicic I.,8,79,-1,-1,-1.0,-1.0,6-7 4-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Stoltenberg J.,Hrbaty D.,94,23,-1,-1,-1.0,-1.0,6-4 2-6 6-4,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,2nd Round,3,Vacek D.,Voinea A.,41,102,-1,-1,-1.0,-1.0,5-7 2-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Corretja A.,Dosedel S.,28,69,-1,-1,-1.0,-1.0,3-6 7-5 6-3,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Voinea A.,Hewitt L.,102,21,-1,-1,-1.0,-1.0,3-6 4-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Ljubicic I.,Kucera K.,79,17,-1,-1,-1.0,-1.0,6-3 3-6 7-5,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,Quarterfinals,3,Lapentti N.,Stoltenberg J.,7,94,-1,-1,-1.0,-1.0,6-4 5-7 1-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,Semifinals,3,Hewitt L.,Corretja A.,21,28,-1,-1,-1.0,-1.0,6-4 6-4,player 1
Sydney International,2000-01-10,International,Outdoor,Hard,Semifinals,3,Ljubicic I.,Stoltenberg J.,79,94,-1,-1,-1.0,-1.0,2-6 2-6,player 2
Sydney International,2000-01-10,International,Outdoor,Hard,The Final,3,Hewitt L.,Stoltenberg J.,21,94,-1,-1,-1.0,-1.0,6-4 6-0,player 1
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Puerta M.,Agassi A.,112,1,-1,-1,-1.0,-1.0,2-6 2-6 3-6,player 2
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Alami K.,Manta L.,35,107,-1,-1,-1.0,-1.0,6-4 7-6 7-5,player 1
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Alonso J.,Arazi H.,111,41,-1,-1,-1.0,-1.0,3-6 6-7 2-6,player 2
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Behrend T.,Meligeni F.,106,28,-1,-1,-1.0,-1.0,6-2 4-6 6-7 6-3 6-0,player 1
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Stoltenberg J.,Bjorkman J.,81,76,-1,-1,-1.0,-1.0,7-6 4-6 4-6 6-0 4-6,player 2
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Black W.,Gambill J.M.,151,57,-1,-1,-1.0,-1.0,7-6 6-1 6-4,player 1
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Clavet F.,22,39,-1,-1,-1.0,-1.0,6-3 1-6 4-6 6-7,player 2
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Corretja A.,Sargsian S.,30,51,-1,-1,-1.0,-1.0,7-6 6-4 6-4,player 1
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Boutter J.,Dosedel S.,155,64,-1,-1,-1.0,-1.0,6-7 7-5 3-6 5-7,player 2
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Dupuis A.,Rodriguez M.,98,119,-1,-1,-1.0,-1.0,6-4 6-4 7-6,player 1
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Parmar A.,El Aynaoui Y.,257,29,-1,-1,-1.0,-1.0,7-6 6-7 6-1 3-6 1-6,player 2
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Courier J.,34,36,-1,-1,-1.0,-1.0,6-7 6-3 7-5 6-1,player 1
Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Chang M.,Federer R.,38,62,-1,-1,-1.0,-1.0,4-6 4-6 6-7,player 2
